,Feature_O,Feature_S
43713,; M001 L001 A001 H001; C06C C06X; J17P J17X; S54B S54X,Q01X Q22D F05X H13X K304 M77D H10C S80X C08C H12X C00N K82F K80F E00G 120T 1306 1351 1406 210D 230A 300S 400M 425C 430V 4351 440B 445A 710G A026 A03C A209 A35B A50B B00L C30B D00D D10A D15A E10F F00A F10P G00M G10X H00D H05D H15B H30H J00B J10J J13X J14A J16E K05A K12A K15J K20E K21H K31X K39X K40B K41X K42C K43X K44A K81E K83B L00A L05X L10C L13C L15C L20C M00D M05P M08X M09A M10D M14X M15A M17A M18A M29X M36X M38E M39G M40A M45W M47W M48X M53D M55P M57C M59X M62N M63E M65S M66A M67C M69A M71A M76B M78A M79A M80B M81A M85A M86A M87A M90D M91C N008 N05S N15A N17X N18B N19C N20A N21D N50J N51M N52A N53B N54B N58X Q00D Q11B Q20D Q21W R00S R05A R06A R40X S00S S02A S03R S04F S06X S07A S09B S10H S15P S20H S25X S28X S29X S32M S36F S41R S44A S45W S60R S67B S69A S72X S73A S74A T01D T02F T11B T12C T13F U00K U03X U104 U32C Z10C Z12A Z14X Z15X Z16G Z20X C15X Z05A K60W A60X R10B T05A Z06X Z07X M73A
43724,; M001 L001 A001 H001; C06C C06X; J17P J17X; S54B S54X,Q01F Q22B F05C H13A K30U M77D H10F S80C C08C H12A C00F K82F K80F E00G 120T 1306 1351 1406 210D 230A 300S 400M 425C 430V 4351 440B 445A 710G A026 A03C A209 A35B A50B B00L C30B D00D D10A D15A E10F F00A F10P G00M G10X H00D H05D H15B H30H J00B J10J J13X J14A J16E K05A K12A K15J K20E K21H K31X K39X K40B K41X K42C K43X K44A K81E K83B L00A L05X L10C L13C L15C L20C M00D M05P M08X M09A M10D M14X M15A M17A M18A M29X M36X M38E M39G M40A M45W M47W M48X M53D M55P M57C M59X M62N M63E M65S M66A M67C M69A M71A M76B M78A M79A M80B M81A M85A M86A M87A M90D M91C N008 N05S N15A N17X N18B N19C N20A N21D N50J N51M N52A N53B N54B N58X Q00D Q11B Q20D Q21W R00S R05A R06A R40X S00S S02A S03R S04F S06X S07A S09B S10H S15P S20H S25X S28X S29X S32M S36F S41R S44A S45W S60R S67B S69A S72X S73A S74A T01D T02F T11B T12C T13F U00K U03X U104 U32C Z10C Z12A Z14X Z15X Z16G Z20X C15X Z05A K60W A60X R10B T05A Z06X Z07X M73A
43725,; M001 L001 A001 H001; C06C C06X; J17P J17X; S54B S54X,Q01X Q22D F05X H13X K304 M77D H10C S80C C08D H12X C00E K82F K80F E00G 120T 1306 1351 1406 210D 230A 300S 400M 425C 430V 4351 440B 445A 710G A026 A03C A209 A35B A50B B00L C30B D00D D10A D15A E10F F00A F10P G00M G10X H00D H05D H15B H30H J00B J10J J13X J14A J16E K05A K12A K15J K20E K21H K31X K39X K40B K41X K42C K43X K44A K81E K83B L00A L05X L10C L13C L15C L20C M00D M05P M08X M09A M10D M14X M15A M17A M18A M29X M36X M38E M39G M40A M45W M47W M48X M53D M55P M57C M59X M62N M63E M65S M66A M67C M69A M71A M76B M78A M79A M80B M81A M85A M86A M87A M90D M91C N008 N05S N15A N17X N18B N19C N20A N21D N50J N51M N52A N53B N54B N58X Q00D Q11B Q20D Q21W R00S R05A R06A R40X S00S S02A S03R S04F S06X S07A S09B S10H S15P S20H S25X S28X S29X S32M S36F S41R S44A S45W S60R S67B S69A S72X S73A S74A T01D T02F T11B T12C T13F U00K U03X U104 U32C Z10C Z12A Z14X Z15X Z16G Z20X C15X Z05A K60W A60X R10B T05A Z06X Z07X M73A
43726,; M001 L001 A001 H001; C06C C06X; J17P J17X; S54B S54X,Q01F Q22B F05X H13X K304 M77D H10C S80C C08D H12X C00E K82F K80F E00G 120T 1306 1351 1406 210D 230A 300S 400M 425C 430V 4351 440B 445A 710G A026 A03C A209 A35B A50B B00L C30B D00D D10A D15A E10F F00A F10P G00M G10X H00D H05D H15B H30H J00B J10J J13X J14A J16E K05A K12A K15J K20E K21H K31X K39X K40B K41X K42C K43X K44A K81E K83B L00A L05X L10C L13C L15C L20C M00D M05P M08X M09A M10D M14X M15A M17A M18A M29X M36X M38E M39G M40A M45W M47W M48X M53D M55P M57C M59X M62N M63E M65S M66A M67C M69A M71A M76B M78A M79A M80B M81A M85A M86A M87A M90D M91C N008 N05S N15A N17X N18B N19C N20A N21D N50J N51M N52A N53B N54B N58X Q00D Q11B Q20D Q21W R00S R05A R06A R40X S00S S02A S03R S04F S06X S07A S09B S10H S15P S20H S25X S28X S29X S32M S36F S41R S44A S45W S60R S67B S69A S72X S73A S74A T01D T02F T11B T12C T13F U00K U03X U104 U32C Z10C Z12A Z14X Z15X Z16G Z20X C15X Z05A K60W A60X R10B T05A Z06X Z07X M73A
43727,; M001 L001 A001 H001; C06C C06X; J17P J17X; S54B S54X,Q01X Q22D F05C H13A K30U M77D H10F S80C C08D H12A C00E K82F K80F E00G 120T 1306 1351 1406 210D 230A 300S 400M 425C 430V 4351 440B 445A 710G A026 A03C A209 A35B A50B B00L C30B D00D D10A D15A E10F F00A F10P G00M G10X H00D H05D H15B H30H J00B J10J J13X J14A J16E K05A K12A K15J K20E K21H K31X K39X K40B K41X K42C K43X K44A K81E K83B L00A L05X L10C L13C L15C L20C M00D M05P M08X M09A M10D M14X M15A M17A M18A M29X M36X M38E M39G M40A M45W M47W M48X M53D M55P M57C M59X M62N M63E M65S M66A M67C M69A M71A M76B M78A M79A M80B M81A M85A M86A M87A M90D M91C N008 N05S N15A N17X N18B N19C N20A N21D N50J N51M N52A N53B N54B N58X Q00D Q11B Q20D Q21W R00S R05A R06A R40X S00S S02A S03R S04F S06X S07A S09B S10H S15P S20H S25X S28X S29X S32M S36F S41R S44A S45W S60R S67B S69A S72X S73A S74A T01D T02F T11B T12C T13F U00K U03X U104 U32C Z10C Z12A Z14X Z15X Z16G Z20X C15X Z05A K60W A60X R10B T05A Z06X Z07X M73A
43728,; M001 L001 A001 H001; C06C C06X; J17P J17X; S54B S54X,Q01F Q22B F05C H13A K30U M77D H10F S80C C08D H12A C00E K82F K80F E00G 120T 1306 1351 1406 210D 230A 300S 400M 425C 430V 4351 440B 445A 710G A026 A03C A209 A35B A50B B00L C30B D00D D10A D15A E10F F00A F10P G00M G10X H00D H05D H15B H30H J00B J10J J13X J14A J16E K05A K12A K15J K20E K21H K31X K39X K40B K41X K42C K43X K44A K81E K83B L00A L05X L10C L13C L15C L20C M00D M05P M08X M09A M10D M14X M15A M17A M18A M29X M36X M38E M39G M40A M45W M47W M48X M53D M55P M57C M59X M62N M63E M65S M66A M67C M69A M71A M76B M78A M79A M80B M81A M85A M86A M87A M90D M91C N008 N05S N15A N17X N18B N19C N20A N21D N50J N51M N52A N53B N54B N58X Q00D Q11B Q20D Q21W R00S R05A R06A R40X S00S S02A S03R S04F S06X S07A S09B S10H S15P S20H S25X S28X S29X S32M S36F S41R S44A S45W S60R S67B S69A S72X S73A S74A T01D T02F T11B T12C T13F U00K U03X U104 U32C Z10C Z12A Z14X Z15X Z16G Z20X C15X Z05A K60W A60X R10B T05A Z06X Z07X M73A
43729,; M001 L001 A001 H001; C06C C06X; J17P J17X; S54B S54X,Q01X Q22D F05X H13X K304 M77D H10C S80X C08C H12X C00N K82B K80F E00G 120T 1306 1351 1406 210D 230A 300S 400M 425C 430V 4351 440B 445A 710G A026 A03C A209 A35B A50B B00L C30B D00D D10A D15A E10F F00A F10P G00M G10X H00D H05D H15B H30H J00B J10J J13X J14A J16E K05A K12A K15J K20E K21H K31X K39X K40B K41X K42C K43X K44A K81E K83B L00A L05X L10C L13C L15C L20C M00D M05P M08X M09A M10D M14X M15A M17A M18A M29X M36X M38E M39G M40A M45W M47W M48X M53D M55P M57C M59X M62N M63E M65S M66A M67C M69A M71A M76B M78A M79A M80B M81A M85A M86A M87A M90D M91C N008 N05S N15A N17X N18B N19C N20A N21D N50J N51M N52A N53B N54B N58X Q00D Q11B Q20D Q21W R00S R05A R06A R40X S00S S02A S03R S04F S06X S07A S09B S10H S15P S20H S25X S28X S29X S32M S36F S41R S44A S45W S60R S67B S69A S72X S73A S74A T01D T02F T11B T12C T13F U00K U03X U104 U32C Z10C Z12A Z14X Z15X Z16G Z20X C15X Z05A K60W A60X R10B T05A Z06X Z07X M73A
43730,; M001 L001 A001 H001; C06C C06X; J17P J17X; S54B S54X,Q01F Q22B F05X H13X K304 M77D H10C S80X C08C H12X C00N K82B K80F E00G 120T 1306 1351 1406 210D 230A 300S 400M 425C 430V 4351 440B 445A 710G A026 A03C A209 A35B A50B B00L C30B D00D D10A D15A E10F F00A F10P G00M G10X H00D H05D H15B H30H J00B J10J J13X J14A J16E K05A K12A K15J K20E K21H K31X K39X K40B K41X K42C K43X K44A K81E K83B L00A L05X L10C L13C L15C L20C M00D M05P M08X M09A M10D M14X M15A M17A M18A M29X M36X M38E M39G M40A M45W M47W M48X M53D M55P M57C M59X M62N M63E M65S M66A M67C M69A M71A M76B M78A M79A M80B M81A M85A M86A M87A M90D M91C N008 N05S N15A N17X N18B N19C N20A N21D N50J N51M N52A N53B N54B N58X Q00D Q11B Q20D Q21W R00S R05A R06A R40X S00S S02A S03R S04F S06X S07A S09B S10H S15P S20H S25X S28X S29X S32M S36F S41R S44A S45W S60R S67B S69A S72X S73A S74A T01D T02F T11B T12C T13F U00K U03X U104 U32C Z10C Z12A Z14X Z15X Z16G Z20X C15X Z05A K60W A60X R10B T05A Z06X Z07X M73A
43731,; M001 L001 A001 H001; C06C C06X; J17P J17X; S54B S54X,Q01X Q22D F05C H13A K30U M77D H10F S80C C08C H12A C00N K82B K80F E00G 120T 1306 1351 1406 210D 230A 300S 400M 425C 430V 4351 440B 445A 710G A026 A03C A209 A35B A50B B00L C30B D00D D10A D15A E10F F00A F10P G00M G10X H00D H05D H15B H30H J00B J10J J13X J14A J16E K05A K12A K15J K20E K21H K31X K39X K40B K41X K42C K43X K44A K81E K83B L00A L05X L10C L13C L15C L20C M00D M05P M08X M09A M10D M14X M15A M17A M18A M29X M36X M38E M39G M40A M45W M47W M48X M53D M55P M57C M59X M62N M63E M65S M66A M67C M69A M71A M76B M78A M79A M80B M81A M85A M86A M87A M90D M91C N008 N05S N15A N17X N18B N19C N20A N21D N50J N51M N52A N53B N54B N58X Q00D Q11B Q20D Q21W R00S R05A R06A R40X S00S S02A S03R S04F S06X S07A S09B S10H S15P S20H S25X S28X S29X S32M S36F S41R S44A S45W S60R S67B S69A S72X S73A S74A T01D T02F T11B T12C T13F U00K U03X U104 U32C Z10C Z12A Z14X Z15X Z16G Z20X C15X Z05A K60W A60X R10B T05A Z06X Z07X M73A
43732,; M001 L001 A001 H001; C06C C06X; J17P J17X; S54B S54X,Q01F Q22B F05C H13A K30U M77D H10F S80C C08C H12A C00N K82B K80F E00G 120T 1306 1351 1406 210D 230A 300S 400M 425C 430V 4351 440B 445A 710G A026 A03C A209 A35B A50B B00L C30B D00D D10A D15A E10F F00A F10P G00M G10X H00D H05D H15B H30H J00B J10J J13X J14A J16E K05A K12A K15J K20E K21H K31X K39X K40B K41X K42C K43X K44A K81E K83B L00A L05X L10C L13C L15C L20C M00D M05P M08X M09A M10D M14X M15A M17A M18A M29X M36X M38E M39G M40A M45W M47W M48X M53D M55P M57C M59X M62N M63E M65S M66A M67C M69A M71A M76B M78A M79A M80B M81A M85A M86A M87A M90D M91C N008 N05S N15A N17X N18B N19C N20A N21D N50J N51M N52A N53B N54B N58X Q00D Q11B Q20D Q21W R00S R05A R06A R40X S00S S02A S03R S04F S06X S07A S09B S10H S15P S20H S25X S28X S29X S32M S36F S41R S44A S45W S60R S67B S69A S72X S73A S74A T01D T02F T11B T12C T13F U00K U03X U104 U32C Z10C Z12A Z14X Z15X Z16G Z20X C15X Z05A K60W A60X R10B T05A Z06X Z07X M73A
43733,; M001 L001 A001 H001; C06C C06X; J17P J17X; S54B S54X,Q01X Q22D F05X H13X K304 M77D H10C S80C C08D H12X C00G K82B K80F E00G 120T 1306 1351 1406 210D 230A 300S 400M 425C 430V 4351 440B 445A 710G A026 A03C A209 A35B A50B B00L C30B D00D D10A D15A E10F F00A F10P G00M G10X H00D H05D H15B H30H J00B J10J J13X J14A J16E K05A K12A K15J K20E K21H K31X K39X K40B K41X K42C K43X K44A K81E K83B L00A L05X L10C L13C L15C L20C M00D M05P M08X M09A M10D M14X M15A M17A M18A M29X M36X M38E M39G M40A M45W M47W M48X M53D M55P M57C M59X M62N M63E M65S M66A M67C M69A M71A M76B M78A M79A M80B M81A M85A M86A M87A M90D M91C N008 N05S N15A N17X N18B N19C N20A N21D N50J N51M N52A N53B N54B N58X Q00D Q11B Q20D Q21W R00S R05A R06A R40X S00S S02A S03R S04F S06X S07A S09B S10H S15P S20H S25X S28X S29X S32M S36F S41R S44A S45W S60R S67B S69A S72X S73A S74A T01D T02F T11B T12C T13F U00K U03X U104 U32C Z10C Z12A Z14X Z15X Z16G Z20X C15X Z05A K60W A60X R10B T05A Z06X Z07X M73A
43734,; M001 L001 A001 H001; C06C C06X; J17P J17X; S54B S54X,Q01F Q22B F05X H13X K304 M77D H10C S80C C08D H12X C00G K82B K80F E00G 120T 1306 1351 1406 210D 230A 300S 400M 425C 430V 4351 440B 445A 710G A026 A03C A209 A35B A50B B00L C30B D00D D10A D15A E10F F00A F10P G00M G10X H00D H05D H15B H30H J00B J10J J13X J14A J16E K05A K12A K15J K20E K21H K31X K39X K40B K41X K42C K43X K44A K81E K83B L00A L05X L10C L13C L15C L20C M00D M05P M08X M09A M10D M14X M15A M17A M18A M29X M36X M38E M39G M40A M45W M47W M48X M53D M55P M57C M59X M62N M63E M65S M66A M67C M69A M71A M76B M78A M79A M80B M81A M85A M86A M87A M90D M91C N008 N05S N15A N17X N18B N19C N20A N21D N50J N51M N52A N53B N54B N58X Q00D Q11B Q20D Q21W R00S R05A R06A R40X S00S S02A S03R S04F S06X S07A S09B S10H S15P S20H S25X S28X S29X S32M S36F S41R S44A S45W S60R S67B S69A S72X S73A S74A T01D T02F T11B T12C T13F U00K U03X U104 U32C Z10C Z12A Z14X Z15X Z16G Z20X C15X Z05A K60W A60X R10B T05A Z06X Z07X M73A
